Device=mps, Env=BreakoutNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.00

episodic_return_mean: 382.2
episodic_return_stdev: 3.4977825487901173
episodic_length_mean: 78050.8
episodic_length_stdev: 46530.23529172669
action_switch_mean: 5065.566666666667
action_switch_stdev: 2785.248502295662
ts/a_mean: 13.772717652908936
ts/a_stdev: 3.2390035549939284

seed,episodic_return,episodic_length,action_switch
643,387.0,8164,906
644,381.0,108000,7208
645,387.0,8164,906
646,380.0,108000,6548
647,380.0,108000,6548
648,373.0,108000,6268
649,381.0,108000,7201
650,381.0,108000,7208
651,380.0,108000,6550
652,381.0,108000,7208
653,387.0,8168,906
654,381.0,108000,7201
655,380.0,108000,6548
656,381.0,108000,7208
657,387.0,8176,906
658,381.0,108000,7208
659,381.0,108000,7207
660,380.0,108000,6548
661,380.0,108000,6550
662,380.0,108000,6547
663,381.0,108000,7208
664,380.0,108000,6547
665,380.0,108000,6550
666,387.0,8168,906
667,387.0,8180,906
668,380.0,108000,6548
669,387.0,8164,906
670,381.0,108000,7204
671,387.0,8180,906
672,387.0,8160,906
