Device=mps, Env=BreakoutNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.04

episodic_return_mean: 375.23333333333335
episodic_return_stdev: 29.42399130586835
episodic_length_mean: 71232.93333333333
episodic_length_stdev: 49147.64279395604
action_switch_mean: 1671.2333333333333
action_switch_stdev: 999.738955008216
ts/a_mean: 35.72992199848602
ts/a_stdev: 12.657423898969737

seed,episodic_return,episodic_length,action_switch
643,415.0,108000,2592
644,360.0,7658,391
645,415.0,108000,2592
646,350.0,108000,2249
647,350.0,108000,2250
648,422.0,8416,400
649,360.0,7654,391
650,360.0,7662,391
651,350.0,108000,2250
652,360.0,7646,391
653,415.0,108000,2592
654,360.0,7654,391
655,350.0,108000,2250
656,360.0,7658,391
657,415.0,108000,2592
658,360.0,7646,391
659,360.0,7666,391
660,350.0,108000,2250
661,350.0,108000,2250
662,350.0,108000,2250
663,360.0,7658,391
664,350.0,108000,2250
665,350.0,108000,2250
666,415.0,108000,2592
667,415.0,108000,2592
668,350.0,108000,2250
669,415.0,108000,2592
670,360.0,7670,391
671,415.0,108000,2592
672,415.0,108000,2592
