Device=mps, Env=SpaceInvadersNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.02

episodic_return_mean: 1579.3333333333333
episodic_return_stdev: 1030.2382828939283
episodic_length_mean: 8459.1
episodic_length_stdev: 4131.077411022707
action_switch_mean: 483.6
action_switch_stdev: 272.2365350838913
ts/a_mean: 18.19988342098357
ts/a_stdev: 1.486583707618939

seed,episodic_return,episodic_length,action_switch
643,1200.0,8002,414
644,2915.0,13517,837
645,1200.0,8002,414
646,520.0,3625,191
647,520.0,3625,190
648,2230.0,10335,512
649,2915.0,13517,837
650,2915.0,13517,836
651,520.0,3625,190
652,2915.0,13517,836
653,1200.0,8002,414
654,2915.0,13517,837
655,520.0,3625,191
656,2915.0,13517,837
657,1200.0,8002,413
658,2915.0,13517,836
659,2915.0,13517,836
660,520.0,3625,191
661,520.0,3625,190
662,520.0,3625,191
663,2915.0,13517,837
664,520.0,3625,191
665,520.0,3625,191
666,1200.0,8002,414
667,1200.0,8002,414
668,520.0,3625,190
669,1200.0,8002,414
670,2915.0,13517,837
671,1200.0,8002,414
672,1200.0,8002,413
