Device=mps, Env=MsPacmanNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.05

episodic_return_mean: 2363.3333333333335
episodic_return_stdev: 639.2254652329636
episodic_length_mean: 4238.333333333333
episodic_length_stdev: 431.62350558642265
action_switch_mean: 144.46666666666667
action_switch_stdev: 8.597246284605374
ts/a_mean: 29.475699435095283
ts/a_stdev: 3.724180729096638

seed,episodic_return,episodic_length,action_switch
643,2060.0,4809,142
644,3240.0,4137,136
645,2060.0,4809,142
646,1800.0,3777,152
647,1800.0,3777,153
648,1960.0,4729,170
649,3240.0,4137,136
650,3240.0,4137,136
651,1800.0,3777,153
652,3240.0,4137,135
653,2060.0,4809,143
654,3240.0,4137,136
655,1800.0,3777,153
656,3240.0,4137,136
657,2060.0,4809,142
658,3240.0,4137,135
659,3240.0,4137,135
660,1800.0,3777,153
661,1800.0,3777,153
662,1800.0,3777,152
663,3240.0,4137,136
664,1800.0,3777,152
665,1800.0,3777,152
666,2060.0,4809,143
667,2060.0,4809,143
668,1800.0,3777,153
669,2060.0,4809,142
670,3240.0,4137,135
671,2060.0,4809,143
672,2060.0,4809,142
