Device=mps, Env=MsPacmanNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.02

episodic_return_mean: 1966.0
episodic_return_stdev: 185.22307147571155
episodic_length_mean: 3773.266666666667
episodic_length_stdev: 114.89333384021694
action_switch_mean: 197.43333333333334
action_switch_stdev: 14.768753906610502
ts/a_mean: 19.205717489837067
ts/a_stdev: 1.3700130110251243

seed,episodic_return,episodic_length,action_switch
643,2220.0,3785,185
644,1950.0,3889,207
645,2220.0,3785,185
646,1770.0,3689,205
647,1770.0,3689,206
648,1800.0,3353,142
649,1950.0,3889,207
650,1950.0,3889,207
651,1770.0,3689,206
652,1950.0,3889,208
653,2220.0,3785,184
654,1950.0,3889,207
655,1770.0,3689,206
656,1950.0,3889,207
657,2220.0,3785,183
658,1950.0,3889,208
659,1950.0,3889,206
660,1770.0,3689,206
661,1770.0,3689,206
662,1770.0,3689,205
663,1950.0,3889,207
664,1770.0,3689,205
665,1770.0,3689,205
666,2220.0,3785,184
667,2220.0,3785,182
668,1770.0,3689,206
669,2220.0,3785,185
670,1950.0,3889,206
671,2220.0,3785,182
672,2220.0,3785,185
