Device=mps, Env=AssaultNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.00

episodic_return_mean: 1681.2333333333333
episodic_return_stdev: 350.4352646533218
episodic_length_mean: 6488.4
episodic_length_stdev: 1363.3177988604327
action_switch_mean: 796.1666666666666
action_switch_stdev: 179.45051826547373
ts/a_mean: 8.180885215649187
ts/a_stdev: 0.2656085470978694

seed,episodic_return,episodic_length,action_switch
643,1867.0,7320,894
644,1489.0,5720,706
645,1867.0,7320,894
646,1615.0,5848,739
647,1415.0,5176,667
648,1540.0,5656,696
649,1802.0,6784,854
650,2047.0,7960,1029
651,2320.0,8664,1101
652,1942.0,8152,989
653,1059.0,4088,475
654,1802.0,6784,854
655,1311.0,5496,660
656,1489.0,5720,706
657,1480.0,5912,686
658,1942.0,8152,989
659,1667.0,6232,738
660,1311.0,5496,660
661,2320.0,8664,1101
662,1919.0,7680,924
663,1489.0,5720,706
664,1919.0,7680,924
665,2445.0,9240,1169
666,1059.0,4088,475
667,1488.0,5624,663
668,1415.0,5176,667
669,1867.0,7320,894
670,1815.0,6404,782
671,1488.0,5624,663
672,1248.0,4952,580
