Device=mps, Env=SeaquestNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.00

episodic_return_mean: 2928.0
episodic_return_stdev: 459.8530499911976
episodic_length_mean: 10546.333333333334
episodic_length_stdev: 1759.6812668547507
action_switch_mean: 1317.6
action_switch_stdev: 288.21933697602
ts/a_mean: 8.127496708962308
ts/a_stdev: 0.6864951546744009

seed,episodic_return,episodic_length,action_switch
643,3480.0,12313,1540
644,2560.0,8401,932
645,3480.0,12313,1540
646,2680.0,10709,1448
647,2680.0,10709,1450
648,4120.0,14473,1870
649,2560.0,8401,932
650,2560.0,8401,932
651,2680.0,10709,1448
652,2560.0,8401,932
653,3480.0,12313,1538
654,2560.0,8401,932
655,2680.0,10709,1451
656,2560.0,8401,932
657,3480.0,12313,1538
658,2560.0,8401,932
659,2560.0,8401,930
660,2680.0,10709,1451
661,2680.0,10709,1448
662,2680.0,10709,1448
663,2560.0,8401,932
664,2680.0,10709,1448
665,2680.0,10709,1450
666,3480.0,12313,1538
667,3480.0,12313,1538
668,2680.0,10709,1450
669,3480.0,12313,1540
670,2560.0,8401,930
671,3480.0,12313,1538
672,3480.0,12313,1540
