Device=mps, Env=SeaquestNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.03

episodic_return_mean: 2776.0
episodic_return_stdev: 759.5897259206038
episodic_length_mean: 10214.733333333334
episodic_length_stdev: 2554.4899070181255
action_switch_mean: 721.5666666666667
action_switch_stdev: 214.00719990036643
ts/a_mean: 14.328628611123525
ts/a_stdev: 0.6487180270054745

seed,episodic_return,episodic_length,action_switch
643,2020.0,7805,530
644,2480.0,9037,607
645,2020.0,7805,530
646,3800.0,13697,1015
647,3800.0,13697,1015
648,2300.0,8857,655
649,2480.0,9037,607
650,2480.0,9037,607
651,3800.0,13697,1015
652,2480.0,9037,607
653,2020.0,7805,530
654,2480.0,9037,607
655,3800.0,13697,1016
656,2480.0,9037,607
657,2020.0,7805,530
658,2480.0,9037,607
659,2480.0,9037,607
660,3800.0,13697,1016
661,3800.0,13697,1015
662,3800.0,13697,1015
663,2480.0,9037,607
664,3800.0,13697,1015
665,3800.0,13697,1015
666,2020.0,7805,530
667,2020.0,7805,530
668,3800.0,13697,1015
669,2020.0,7805,530
670,2480.0,9037,607
671,2020.0,7805,530
672,2020.0,7805,530
