Device=mps, Env=MsPacmanNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.04

episodic_return_mean: 2037.0
episodic_return_stdev: 208.2132527498902
episodic_length_mean: 4311.4
episodic_length_stdev: 652.8922179624001
action_switch_mean: 175.96666666666667
action_switch_stdev: 14.27919473565826
ts/a_mean: 24.384532529424945
ts/a_stdev: 1.8225073863760952

seed,episodic_return,episodic_length,action_switch
643,2260.0,5241,193
644,2120.0,3937,172
645,2260.0,5241,193
646,1770.0,3785,161
647,1770.0,3785,162
648,1870.0,4953,206
649,2120.0,3937,172
650,2120.0,3937,172
651,1770.0,3785,162
652,2120.0,3937,171
653,2260.0,5241,194
654,2120.0,3937,172
655,1770.0,3785,162
656,2120.0,3937,172
657,2260.0,5241,193
658,2120.0,3937,171
659,2120.0,3937,171
660,1770.0,3785,162
661,1770.0,3785,162
662,1770.0,3785,161
663,2120.0,3937,172
664,1770.0,3785,161
665,1770.0,3785,161
666,2260.0,5241,194
667,2260.0,5241,194
668,1770.0,3785,162
669,2260.0,5241,193
670,2120.0,3937,171
671,2260.0,5241,194
672,2260.0,5241,193
