Device=mps, Env=SpaceInvadersNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.05

episodic_return_mean: 724.5
episodic_return_stdev: 197.5991675956221
episodic_length_mean: 4416.333333333333
episodic_length_stdev: 1122.0398091571142
action_switch_mean: 162.3
action_switch_stdev: 43.042200623141454
ts/a_mean: 27.28565717063078
ts/a_stdev: 1.6539471826691676

seed,episodic_return,episodic_length,action_switch
643,600.0,4217,148
644,745.0,3615,142
645,600.0,4217,148
646,545.0,4047,141
647,1115.0,6815,264
648,1155.0,6845,221
649,745.0,3615,142
650,745.0,3615,141
651,1115.0,6815,264
652,745.0,3615,141
653,600.0,4217,148
654,745.0,3615,142
655,545.0,4047,141
656,745.0,3615,142
657,600.0,4217,147
658,745.0,3615,141
659,745.0,3615,141
660,545.0,4047,141
661,1115.0,6815,264
662,545.0,4047,141
663,745.0,3615,142
664,545.0,4047,141
665,545.0,4047,141
666,600.0,4217,148
667,600.0,4217,148
668,1115.0,6815,264
669,600.0,4217,148
670,745.0,3615,142
671,600.0,4217,148
672,600.0,4217,147
