Device=mps, Env=AssaultNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.05

episodic_return_mean: 3377.3
episodic_return_stdev: 1416.4445568954052
episodic_length_mean: 13902.2
episodic_length_stdev: 4805.129338386292
action_switch_mean: 819.7666666666667
action_switch_stdev: 268.29020357317063
ts/a_mean: 16.906667704936506
ts/a_stdev: 1.1927730112965678

seed,episodic_return,episodic_length,action_switch
643,3112.0,13880,832
644,2958.0,12632,719
645,3112.0,13880,832
646,2634.0,10648,680
647,2443.0,11320,626
648,3277.0,14104,904
649,2422.0,9208,580
650,4154.0,17090,1045
651,3590.0,14264,884
652,4547.0,17538,1042
653,7901.0,27890,1625
654,2422.0,9208,580
655,4231.0,18498,917
656,2958.0,12632,719
657,2864.0,12554,781
658,4547.0,17538,1042
659,2170.0,8960,559
660,3757.0,19010,914
661,3590.0,14264,884
662,2643.0,11128,687
663,2958.0,12632,719
664,2643.0,11128,687
665,3280.0,13234,759
666,7901.0,27890,1625
667,2937.0,12376,769
668,2443.0,11320,626
669,3112.0,13880,832
670,2361.0,9528,575
671,2937.0,12376,769
672,1415.0,6456,380
