Device=mps, Env=PongNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.00

episodic_return_mean: 21.0
episodic_return_stdev: 0.0
episodic_length_mean: 6571.5
episodic_length_stdev: 68.92211996659458
action_switch_mean: 853.7
action_switch_stdev: 18.3606588417586
ts/a_mean: 7.700140467704566
ts/a_stdev: 0.13673817732625318

seed,episodic_return,episodic_length,action_switch
643,21.0,6497,838
644,21.0,6615,879
645,21.0,6497,838
646,21.0,6617,844
647,21.0,6617,844
648,21.0,6352,839
649,21.0,6615,879
650,21.0,6615,879
651,21.0,6617,844
652,21.0,6615,879
653,21.0,6497,838
654,21.0,6615,879
655,21.0,6617,844
656,21.0,6615,879
657,21.0,6497,838
658,21.0,6615,879
659,21.0,6615,879
660,21.0,6617,844
661,21.0,6617,844
662,21.0,6617,844
663,21.0,6615,879
664,21.0,6617,844
665,21.0,6617,844
666,21.0,6497,838
667,21.0,6497,838
668,21.0,6617,844
669,21.0,6497,838
670,21.0,6615,879
671,21.0,6497,838
672,21.0,6497,838
