Device=mps, Env=MsPacmanNoFrameskip-v4, Num episodes: 30, epsilon=0.05, delta=0.00

episodic_return_mean: 1917.6666666666667
episodic_return_stdev: 787.8372111447693
episodic_length_mean: 3946.0666666666666
episodic_length_stdev: 948.9635338124153
action_switch_mean: 369.06666666666666
action_switch_stdev: 114.29632791438509
ts/a_mean: 10.921342848697277
ts/a_stdev: 1.0930418870244298

seed,episodic_return,episodic_length,action_switch
643,1660.0,4025,375
644,2510.0,4633,436
645,1480.0,3265,270
646,1810.0,5377,544
647,2540.0,5865,593
648,1970.0,4553,489
649,1700.0,3721,349
650,1710.0,5577,594
651,3010.0,5825,617
652,3840.0,4241,323
653,2220.0,4409,377
654,2120.0,4105,392
655,1330.0,3201,290
656,3180.0,3961,346
657,3290.0,4761,435
658,2090.0,3985,391
659,980.0,2729,306
660,1360.0,3505,343
661,830.0,2833,256
662,2880.0,3457,314
663,2410.0,3609,288
664,1630.0,3073,274
665,1750.0,5241,531
666,1320.0,3417,300
667,1790.0,3681,331
668,990.0,2777,257
669,630.0,2753,217
670,1790.0,3769,351
671,710.0,2433,189
672,2000.0,3601,294
