Device=mps, Env=AssaultNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.04

episodic_return_mean: 2997.133333333333
episodic_return_stdev: 2109.810479041012
episodic_length_mean: 12134.466666666667
episodic_length_stdev: 7618.893008256801
action_switch_mean: 757.4
action_switch_stdev: 420.0336275536306
ts/a_mean: 15.689912363016564
ts/a_stdev: 1.59358033456318

seed,episodic_return,episodic_length,action_switch
643,1721.0,7168,503
644,1068.0,4184,285
645,1721.0,7168,503
646,2980.0,11128,778
647,2905.0,13494,820
648,7390.0,28488,1592
649,7860.0,30616,1674
650,8426.0,28326,1756
651,2517.0,10680,688
652,2885.0,11544,755
653,1867.0,7800,514
654,7860.0,30616,1674
655,1364.0,8066,412
656,1068.0,4184,285
657,2131.0,10104,608
658,2885.0,11544,755
659,2750.0,12040,728
660,1364.0,8066,412
661,2517.0,10680,688
662,2297.0,8664,590
663,1068.0,4184,285
664,2297.0,8664,590
665,4701.0,18306,1212
666,1867.0,7800,514
667,3185.0,12888,902
668,2905.0,13494,820
669,1721.0,7168,503
670,2191.0,8960,609
671,3185.0,12888,902
672,1218.0,5122,365
