Device=mps, Env=PongNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.04

episodic_return_mean: 21.0
episodic_return_stdev: 0.0
episodic_length_mean: 6551.566666666667
episodic_length_stdev: 90.52097616816106
action_switch_mean: 89.6
action_switch_stdev: 3.6728265916612224
ts/a_mean: 73.26564407033716
ts/a_stdev: 3.7403215495799027

seed,episodic_return,episodic_length,action_switch
643,21.0,6433,92
644,21.0,6611,91
645,21.0,6433,92
646,21.0,6617,85
647,21.0,6617,85
648,21.0,6370,100
649,21.0,6611,91
650,21.0,6611,91
651,21.0,6617,85
652,21.0,6611,91
653,21.0,6433,92
654,21.0,6611,91
655,21.0,6617,85
656,21.0,6611,91
657,21.0,6433,92
658,21.0,6611,91
659,21.0,6611,91
660,21.0,6617,85
661,21.0,6617,85
662,21.0,6617,85
663,21.0,6611,91
664,21.0,6617,85
665,21.0,6617,85
666,21.0,6433,92
667,21.0,6433,92
668,21.0,6617,85
669,21.0,6433,92
670,21.0,6611,91
671,21.0,6433,92
672,21.0,6433,92
