Device=mps, Env=MsPacmanNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.00

episodic_return_mean: 1423.3333333333333
episodic_return_stdev: 331.6451503446514
episodic_length_mean: 3444.733333333333
episodic_length_stdev: 316.3567315692767
action_switch_mean: 272.1333333333333
action_switch_stdev: 42.50901189105697
ts/a_mean: 12.79352570216613
ts/a_stdev: 0.9476398272573305

seed,episodic_return,episodic_length,action_switch
643,1170.0,3081,220
644,1850.0,3353,266
645,1170.0,3081,220
646,1180.0,3809,323
647,1180.0,3809,322
648,1870.0,3993,302
649,1850.0,3353,268
650,1850.0,3353,266
651,1180.0,3809,322
652,1850.0,3353,269
653,1170.0,3081,219
654,1850.0,3353,268
655,1180.0,3809,324
656,1850.0,3353,266
657,1170.0,3081,218
658,1850.0,3353,269
659,1850.0,3353,267
660,1180.0,3809,324
661,1180.0,3809,322
662,1180.0,3809,321
663,1850.0,3353,266
664,1180.0,3809,321
665,1180.0,3809,323
666,1170.0,3081,219
667,1170.0,3081,215
668,1180.0,3809,322
669,1170.0,3081,220
670,1850.0,3353,267
671,1170.0,3081,215
672,1170.0,3081,220
