Device=mps, Env=SeaquestNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.05

episodic_return_mean: 1103.3333333333333
episodic_return_stdev: 833.7548359300722
episodic_length_mean: 5355.266666666666
episodic_length_stdev: 1489.587837771503
action_switch_mean: 293.8
action_switch_stdev: 110.7850979646382
ts/a_mean: 19.032171625383516
ts/a_stdev: 2.6949486942283563

seed,episodic_return,episodic_length,action_switch
643,780.0,5989,306
644,400.0,3957,206
645,360.0,3493,135
646,2240.0,7161,434
647,2240.0,7161,434
648,840.0,4549,234
649,400.0,3957,206
650,400.0,3957,206
651,2240.0,7161,434
652,400.0,3957,206
653,800.0,5817,325
654,400.0,3957,206
655,2240.0,7161,435
656,400.0,3957,206
657,360.0,3493,135
658,400.0,3957,206
659,400.0,3957,206
660,2240.0,7161,435
661,2240.0,7161,434
662,2240.0,7161,434
663,400.0,3957,206
664,2240.0,7161,434
665,2240.0,7161,434
666,360.0,3493,135
667,780.0,5509,269
668,2240.0,7161,434
669,820.0,5989,313
670,400.0,3957,206
671,800.0,5573,280
672,800.0,5573,280
