Device=mps, Env=PongNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.03

episodic_return_mean: 21.0
episodic_return_stdev: 0.0
episodic_length_mean: 6553.9
episodic_length_stdev: 92.15330180998811
action_switch_mean: 87.3
action_switch_stdev: 2.654209408883726
ts/a_mean: 75.12188336835166
ts/a_stdev: 1.8354920329646167

seed,episodic_return,episodic_length,action_switch
643,21.0,6433,84
644,21.0,6618,87
645,21.0,6433,84
646,21.0,6617,90
647,21.0,6617,90
648,21.0,6370,93
649,21.0,6618,87
650,21.0,6618,87
651,21.0,6617,90
652,21.0,6618,87
653,21.0,6433,84
654,21.0,6618,87
655,21.0,6617,90
656,21.0,6618,87
657,21.0,6433,84
658,21.0,6618,87
659,21.0,6618,87
660,21.0,6617,90
661,21.0,6617,90
662,21.0,6617,90
663,21.0,6618,87
664,21.0,6617,90
665,21.0,6617,90
666,21.0,6433,84
667,21.0,6433,84
668,21.0,6617,90
669,21.0,6433,84
670,21.0,6618,87
671,21.0,6433,84
672,21.0,6433,84
