Device=mps, Env=PongNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.02

episodic_return_mean: 21.0
episodic_return_stdev: 0.0
episodic_length_mean: 6556.433333333333
episodic_length_stdev: 92.00100574162907
action_switch_mean: 102.53333333333333
action_switch_stdev: 10.549500178823095
ts/a_mean: 64.65570525551287
ts/a_stdev: 7.158303518233687

seed,episodic_return,episodic_length,action_switch
643,21.0,6439,117
644,21.0,6619,99
645,21.0,6439,117
646,21.0,6620,92
647,21.0,6620,92
648,21.0,6352,113
649,21.0,6619,99
650,21.0,6619,99
651,21.0,6620,92
652,21.0,6619,99
653,21.0,6439,117
654,21.0,6619,99
655,21.0,6620,92
656,21.0,6619,99
657,21.0,6439,117
658,21.0,6619,99
659,21.0,6619,99
660,21.0,6620,92
661,21.0,6620,92
662,21.0,6620,92
663,21.0,6619,99
664,21.0,6620,92
665,21.0,6620,92
666,21.0,6439,117
667,21.0,6439,117
668,21.0,6620,92
669,21.0,6439,117
670,21.0,6619,99
671,21.0,6439,117
672,21.0,6439,117
