Device=mps, Env=BreakoutNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.02

episodic_return_mean: 387.5
episodic_return_stdev: 24.045574544444012
episodic_length_mean: 71039.66666666667
episodic_length_stdev: 49405.888147852995
action_switch_mean: 3561.766666666667
action_switch_stdev: 2616.8496943822556
ts/a_mean: 19.608873364069378
ts/a_stdev: 4.481358608676934

seed,episodic_return,episodic_length,action_switch
643,378.0,108000,4102
644,363.0,108000,6525
645,378.0,108000,4102
646,418.0,7151,425
647,418.0,7143,425
648,413.0,7668,439
649,363.0,108000,6524
650,363.0,108000,6529
651,418.0,7159,425
652,363.0,108000,6527
653,378.0,108000,4100
654,363.0,108000,6524
655,418.0,7139,425
656,363.0,108000,6525
657,378.0,108000,4101
658,363.0,108000,6527
659,363.0,108000,6523
660,418.0,7139,425
661,418.0,7159,425
662,418.0,7167,425
663,363.0,108000,6525
664,418.0,7167,425
665,418.0,7155,425
666,378.0,108000,4100
667,378.0,108000,4101
668,418.0,7143,425
669,378.0,108000,4102
670,363.0,108000,6524
671,378.0,108000,4101
672,378.0,108000,4102
