Device=mps, Env=AssaultNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.03

episodic_return_mean: 2652.5
episodic_return_stdev: 717.3872493411361
episodic_length_mean: 10936.066666666668
episodic_length_stdev: 2844.920821070583
action_switch_mean: 780.5
action_switch_stdev: 209.57687257243194
ts/a_mean: 14.104909761410044
ts/a_stdev: 1.4221381832866158

seed,episodic_return,episodic_length,action_switch
643,2507.0,9048,645
644,4265.0,17026,1195
645,2507.0,9048,645
646,3030.0,14424,979
647,2716.0,11768,939
648,2739.0,11032,828
649,2592.0,10776,709
650,3227.0,13196,988
651,2026.0,8088,613
652,2340.0,12088,685
653,2013.0,9472,578
654,2592.0,10776,709
655,2685.0,11160,874
656,4265.0,17026,1195
657,3084.0,11928,874
658,2340.0,12088,685
659,2540.0,10488,702
660,2685.0,11160,874
661,2026.0,8088,613
662,1981.0,7768,587
663,4265.0,17026,1195
664,1981.0,7768,587
665,2002.0,7672,618
666,2013.0,9472,578
667,1603.0,6968,490
668,2716.0,11768,939
669,2507.0,9048,645
670,3485.0,13624,1081
671,1603.0,6968,490
672,3240.0,11320,875
