Device=mps, Env=SeaquestNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.02

episodic_return_mean: 2238.6666666666665
episodic_return_stdev: 316.79138499838564
episodic_length_mean: 7827.666666666667
episodic_length_stdev: 1625.6201645957244
action_switch_mean: 586.0666666666667
action_switch_stdev: 137.61463768708302
ts/a_mean: 13.405933563773115
ts/a_stdev: 0.5391671791050403

seed,episodic_return,episodic_length,action_switch
643,2180.0,7737,545
644,2020.0,6801,518
645,2180.0,7737,545
646,2360.0,8129,622
647,2360.0,8129,622
648,3740.0,15897,1275
649,2020.0,6801,518
650,2020.0,6801,518
651,2360.0,8129,622
652,2020.0,6801,518
653,2180.0,7737,545
654,2020.0,6801,518
655,2360.0,8129,623
656,2020.0,6801,518
657,2180.0,7737,545
658,2020.0,6801,518
659,2020.0,6801,518
660,2360.0,8129,623
661,2360.0,8129,622
662,2360.0,8129,622
663,2020.0,6801,518
664,2360.0,8129,622
665,2360.0,8129,622
666,2180.0,7737,545
667,2180.0,7737,545
668,2360.0,8129,622
669,2180.0,7737,545
670,2020.0,6801,518
671,2180.0,7737,545
672,2180.0,7737,545
