Device=mps, Env=PongNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.05

episodic_return_mean: 21.0
episodic_return_stdev: 0.0
episodic_length_mean: 6550.9
episodic_length_stdev: 90.04533341026351
action_switch_mean: 86.73333333333333
action_switch_stdev: 6.225272924820706
ts/a_mean: 75.96023645724978
ts/a_stdev: 6.21236549392056

seed,episodic_return,episodic_length,action_switch
643,21.0,6433,95
644,21.0,6610,84
645,21.0,6433,95
646,21.0,6616,81
647,21.0,6616,81
648,21.0,6370,97
649,21.0,6610,84
650,21.0,6610,84
651,21.0,6616,81
652,21.0,6610,84
653,21.0,6433,95
654,21.0,6610,84
655,21.0,6616,81
656,21.0,6610,84
657,21.0,6433,95
658,21.0,6610,84
659,21.0,6610,84
660,21.0,6616,81
661,21.0,6616,81
662,21.0,6616,81
663,21.0,6610,84
664,21.0,6616,81
665,21.0,6616,81
666,21.0,6433,95
667,21.0,6433,95
668,21.0,6616,81
669,21.0,6433,95
670,21.0,6610,84
671,21.0,6433,95
672,21.0,6433,95
