Device=mps, Env=SpaceInvadersNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.04

episodic_return_mean: 1467.8333333333333
episodic_return_stdev: 876.0281480020799
episodic_length_mean: 7770.6
episodic_length_stdev: 3865.1465832934236
action_switch_mean: 328.8
action_switch_stdev: 190.60690728157854
ts/a_mean: 24.669144227883102
ts/a_stdev: 2.2440927850593937

seed,episodic_return,episodic_length,action_switch
643,495.0,3157,124
644,1205.0,7060,269
645,495.0,3157,124
646,2610.0,12635,581
647,2610.0,12635,580
648,1430.0,7755,258
649,1205.0,7060,269
650,1205.0,7060,268
651,2610.0,12635,580
652,1205.0,7060,268
653,495.0,3157,124
654,1205.0,7060,269
655,2610.0,12635,581
656,1205.0,7060,269
657,495.0,3157,123
658,1205.0,7060,268
659,1205.0,7060,268
660,2610.0,12635,581
661,2610.0,12635,580
662,2610.0,12635,581
663,1205.0,7060,269
664,2610.0,12635,581
665,2610.0,12635,581
666,495.0,3157,124
667,495.0,3157,124
668,2610.0,12635,580
669,495.0,3157,124
670,1205.0,7060,269
671,495.0,3157,124
672,495.0,3157,123
