Device=mps, Env=SpaceInvadersNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.00

episodic_return_mean: 1231.0
episodic_return_stdev: 182.62643235058678
episodic_length_mean: 6795.3
episodic_length_stdev: 699.2967970360136
action_switch_mean: 668.3
action_switch_stdev: 69.23181947331882
ts/a_mean: 10.167891831873812
ts/a_stdev: 0.18447751945650745

seed,episodic_return,episodic_length,action_switch
643,1440.0,6987,678
644,1175.0,6793,661
645,1440.0,6987,678
646,1170.0,6992,704
647,1170.0,6992,705
648,520.0,3126,315
649,1175.0,6793,661
650,1175.0,6793,658
651,1170.0,6992,703
652,1175.0,6793,660
653,1440.0,6987,678
654,1175.0,6793,661
655,1170.0,6992,706
656,1175.0,6793,661
657,1440.0,6987,675
658,1175.0,6793,660
659,1175.0,6793,658
660,1170.0,6992,706
661,1170.0,6992,703
662,1170.0,6992,702
663,1175.0,6793,661
664,1170.0,6992,702
665,1170.0,6992,704
666,1440.0,6987,678
667,1440.0,6987,676
668,1170.0,6992,705
669,1440.0,6987,678
670,1175.0,6793,659
671,1440.0,6987,676
672,1440.0,6987,677
