Device=mps, Env=BreakoutNoFrameskip-v4, Num episodes: 30, epsilon=0.05, delta=0.00

episodic_return_mean: 313.96666666666664
episodic_return_stdev: 106.96744052903824
episodic_length_mean: 8105.933333333333
episodic_length_stdev: 2055.56021281444
action_switch_mean: 986.1666666666666
action_switch_stdev: 250.5339241029781
ts/a_mean: 8.239811252316676
ts/a_stdev: 0.5135683461723936

seed,episodic_return,episodic_length,action_switch
643,343.0,8645,1083
644,265.0,7231,797
645,352.0,9775,1135
646,346.0,7111,850
647,413.0,9455,1112
648,376.0,8353,1107
649,403.0,8719,1020
650,333.0,7561,951
651,307.0,6647,768
652,116.0,5008,610
653,393.0,9237,1133
654,292.0,7753,967
655,397.0,7514,938
656,401.0,8619,1008
657,365.0,7166,846
658,403.0,10728,1409
659,85.0,5531,695
660,397.0,7831,978
661,150.0,6032,760
662,242.0,10004,1415
663,330.0,7515,906
664,69.0,4512,511
665,402.0,12034,1564
666,399.0,13020,1396
667,96.0,5242,663
668,323.0,6635,852
669,419.0,9129,1125
670,281.0,11731,1244
671,325.0,7032,853
672,396.0,7408,889
