Device=mps, Env=AssaultNoFrameskip-v4, Num episodes: 30, epsilon=0.05, delta=0.00

episodic_return_mean: 1315.0
episodic_return_stdev: 271.6544458149627
episodic_length_mean: 5077.666666666667
episodic_length_stdev: 1115.4011597297344
action_switch_mean: 666.7
action_switch_stdev: 150.74508055105755
ts/a_mean: 7.630580744199014
ts/a_stdev: 0.21101935479932704

seed,episodic_return,episodic_length,action_switch
643,735.0,3376,431
644,1386.0,5048,655
645,1217.0,4792,610
646,1627.0,6488,871
647,1542.0,6456,849
648,1773.0,7000,913
649,1488.0,5368,707
650,1458.0,5656,766
651,1375.0,5816,790
652,984.0,3608,449
653,912.0,3444,439
654,1310.0,4984,647
655,1354.0,5464,719
656,1175.0,4632,619
657,932.0,3510,466
658,1269.0,4024,554
659,1206.0,4664,610
660,1049.0,4280,582
661,1931.0,7512,999
662,1311.0,4408,557
663,997.0,4024,544
664,1238.0,4440,600
665,1373.0,5400,730
666,1122.0,4376,554
667,1564.0,5248,674
668,1646.0,7032,928
669,1531.0,5912,768
670,1552.0,6264,802
671,1091.0,4568,568
672,1302.0,4536,600
