Device=mps, Env=SpaceInvadersNoFrameskip-v4, Num episodes: 30, epsilon=0.05, delta=0.00

episodic_return_mean: 990.0
episodic_return_stdev: 623.9087024281015
episodic_length_mean: 5590.466666666666
episodic_length_stdev: 3285.7360560283987
action_switch_mean: 614.6333333333333
action_switch_stdev: 346.41548537233024
ts/a_mean: 9.05806042245408
ts/a_stdev: 0.6803441577020028

seed,episodic_return,episodic_length,action_switch
643,550.0,3340,366
644,1175.0,6795,769
645,430.0,2732,340
646,525.0,3484,377
647,990.0,6434,741
648,710.0,4154,423
649,1150.0,7727,847
650,570.0,3265,410
651,515.0,3115,365
652,535.0,2912,344
653,1155.0,6453,674
654,895.0,5065,567
655,500.0,3089,398
656,1860.0,11125,1327
657,745.0,3436,350
658,1210.0,7354,831
659,1120.0,6637,750
660,600.0,3539,380
661,515.0,3446,411
662,745.0,3197,351
663,1370.0,7391,890
664,745.0,2569,285
665,490.0,4071,456
666,1835.0,10572,1133
667,2890.0,14599,1434
668,800.0,3503,346
669,1340.0,6477,686
670,510.0,4191,393
671,545.0,2967,314
672,2680.0,14075,1481
