Device=mps, Env=BreakoutNoFrameskip-v4, Num episodes: 30, epsilon=0.00, delta=0.05

episodic_return_mean: 314.3666666666667
episodic_return_stdev: 44.897955819631804
episodic_length_mean: 37518.4
episodic_length_stdev: 46933.98878953878
action_switch_mean: 1331.5666666666666
action_switch_stdev: 1526.1796496443353
ts/a_mean: 23.61479580204176
ts/a_stdev: 4.26502992276162

seed,episodic_return,episodic_length,action_switch
643,280.0,108000,3623
644,282.0,6557,321
645,280.0,108000,3623
646,369.0,8059,385
647,369.0,8051,385
648,401.0,7388,278
649,282.0,6553,321
650,282.0,6561,321
651,369.0,8067,385
652,282.0,6545,321
653,280.0,108000,3624
654,282.0,6553,321
655,369.0,8047,385
656,282.0,6557,321
657,280.0,108000,3623
658,282.0,6545,321
659,282.0,6565,321
660,369.0,8047,385
661,369.0,8067,385
662,369.0,8075,385
663,282.0,6557,321
664,369.0,8075,385
665,369.0,8063,385
666,280.0,108000,3624
667,280.0,108000,3623
668,369.0,8051,385
669,280.0,108000,3623
670,282.0,6569,321
671,280.0,108000,3623
672,280.0,108000,3623
