Device=mps, Env=SeaquestNoFrameskip-v4, Num episodes: 30, epsilon=0.05, delta=0.00

episodic_return_mean: 1836.0
episodic_return_stdev: 568.8075851863416
episodic_length_mean: 6770.466666666666
episodic_length_stdev: 1651.619888918532
action_switch_mean: 860.3
action_switch_stdev: 222.69867534406217
ts/a_mean: 7.928499046903175
ts/a_stdev: 0.4594785801841242

seed,episodic_return,episodic_length,action_switch
643,1660.0,6077,782
644,2160.0,9141,1125
645,1620.0,6465,854
646,1880.0,6473,836
647,2900.0,9213,1248
648,1160.0,5313,639
649,1500.0,5873,694
650,780.0,3393,383
651,1020.0,5113,649
652,2380.0,9477,1129
653,1600.0,6721,875
654,1940.0,6845,847
655,2340.0,7989,1059
656,1380.0,5433,654
657,1940.0,6809,934
658,2140.0,7193,932
659,920.0,3833,459
660,1820.0,6837,855
661,1920.0,7037,924
662,1060.0,4317,496
663,1620.0,5913,707
664,1120.0,5777,855
665,1800.0,6253,762
666,2800.0,8925,1107
667,1920.0,6681,927
668,1980.0,6705,854
669,1980.0,7173,930
670,2380.0,7681,931
671,2480.0,7717,975
672,2880.0,10737,1387
